connectionpool.py-208-2022-12-08 15:37:29,831-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-396-2022-12-08 15:37:47,419-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:47,419-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:47,419-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:47,419-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-208-2022-12-08 15:37:49,438-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:49,438-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:49,438-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:49,438-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:49,438-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:49,438-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-396-2022-12-08 15:37:49,538-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:49,538-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:49,538-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:49,538-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:49,538-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:49,538-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:51,378-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:51,378-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:51,378-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:51,378-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:51,378-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:51,378-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-208-2022-12-08 15:37:53,391-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:53,391-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:53,391-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:53,391-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:53,391-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:53,391-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:53,391-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-396-2022-12-08 15:37:53,483-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:53,483-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:53,483-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:53,483-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:53,483-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:53,483-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:53,483-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-208-2022-12-08 15:37:53,494-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:53,494-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:53,494-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:53,494-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:53,494-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:53,494-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:53,494-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:53,494-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-396-2022-12-08 15:37:53,588-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:53,588-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:53,588-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:53,588-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:53,588-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:53,588-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:53,588-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:53,588-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:55,384-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:55,384-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:55,384-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:55,384-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:55,384-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:55,384-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:55,384-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:55,384-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:59,191-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:59,191-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:59,191-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:59,191-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:59,191-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:59,191-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:59,191-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:59,191-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:38:01,415-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:01,415-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:01,415-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:01,415-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:01,415-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:01,415-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:01,415-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:01,415-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:01,780-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:01,780-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:01,780-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:01,780-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:01,780-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:01,780-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:01,780-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:01,780-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:02,235-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:02,235-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:02,235-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:02,235-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:02,235-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:02,235-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:02,235-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:02,235-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:02,700-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:02,700-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:02,700-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:02,700-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:02,700-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:02,700-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:02,700-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:02,700-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:03,183-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:03,183-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:03,183-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:03,183-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:03,183-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:03,183-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:03,183-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:03,183-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:03,653-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:03,653-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:03,653-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:03,653-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:03,653-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:03,653-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:03,653-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:03,653-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:04,048-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:04,048-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:04,048-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:04,048-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:04,048-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:04,048-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:04,048-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:04,048-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:04,460-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:04,460-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:04,460-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:04,460-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:04,460-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:04,460-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:04,460-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:04,460-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:04,929-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:04,929-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:04,929-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:04,929-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:04,929-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:04,929-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:04,929-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:04,929-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:05,324-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:05,324-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:05,324-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:05,324-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:05,324-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:05,324-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:05,324-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:05,324-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:05,806-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:05,806-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:05,806-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:05,806-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:05,806-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:05,806-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:05,806-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:05,806-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:06,199-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:06,199-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:06,199-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:06,199-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:06,199-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:06,199-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:06,199-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:06,199-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:06,613-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:06,613-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:06,613-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-12-08 15:38:06,613-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 None
